frame_index,id_13_team_0,id_10_team_0,id_2_team_0,id_4_team_0,id_16_team_0,id_281_team_0,id_5_team_0,id_1_team_0,id_45_team_0,id_20_team_0,id_17_team_0,id_22_team_1,id_14_team_1,id_11_team_1,id_3_team_1,id_9_team_1,id_6_team_1,id_12_team_1,id_8_team_1,id_15_team_1,id_7_team_1,id_18_team_1,ball
430,"8333.69,4420.96","8359.05,3229.2","8229.3,5317.06","7379.7,5621.51","7053.62,4819.07","10483.9,3796.28","8277.97,6128.75","7295.91,6466.96","8191.84,2539.07","6125.94,4285.36","5580.26,6154.71","3222.74,4885.91","5529.24,2000.9","5660.29,5083.62","5657.92,6459.38","7760.99,2504.75","7058.3,5598.88","8712.02,6383.8","7585.98,6793.04","8469.46,1470.04","8925.79,5461.27","8497.03,3181.17","4088.47,5577.6"
431,"8261.21,4424.38","8295.96,3210.49","8143.98,5345.31","7296.13,5610.08","7016.37,4745.23","10459.67,3838.13","8168.44,6086.0","7211.79,6465.95","8148.24,2512.22","6042.05,4217.18","5471.29,6144.98","3229.36,4888.91","5462.88,1930.29","5585.49,5071.44","5573.72,6446.02","7720.25,2496.74","6958.91,5583.47","8589.33,6301.97","7526.6,6793.82","8424.35,1481.9","8853.68,5484.78","8446.22,3180.8","3975.58,5508.71"
432,"8173.37,4437.19","8225.78,3199.13","8053.78,5377.68","7212.56,5598.65","6947.53,4714.24","10430.61,3831.17","8096.95,6072.31","7130.43,6472.53","8087.12,2480.32","5959.41,4140.39","5385.43,6043.53","3241.5,4956.32","5363.62,1933.65","5517.09,5112.07","5516.77,6412.95","7673.03,2509.8","6859.51,5568.05","8506.33,6297.42","7479.53,6792.07","8378.65,1414.28","8783.4,5494.89","8370.12,3186.14","3867.84,5446.2"
433,"8113.86,4376.93","8125.28,3181.7","7989.37,5393.6","7136.15,5582.63","6878.69,4683.26","10394.32,3874.07","8030.88,6079.02","7068.17,6460.39","7998.38,2461.96","5863.43,4077.7","5274.28,6034.08","3214.69,4944.66","5273.64,1781.86","5424.23,5106.88","5406.66,6405.4","7617.23,2427.22","6774.0,5571.82","8465.34,6271.45","7427.91,6814.13","8304.58,1374.05","8720.93,5522.7","8315.74,3117.41","3734.23,5346.13"
434,"8029.63,4406.72","8058.41,3204.17","7900.11,5442.98","7059.74,5566.61","6816.2,4661.67","10394.32,3874.07","7962.58,6051.62","7001.94,6458.14","7961.1,2496.65","5808.64,4017.09","5165.48,5941.15","3131.07,4921.26","5257.75,1838.94","5370.11,5116.86","5324.03,6384.49","7585.95,2514.54","6705.69,5543.55","8381.97,6245.7","7381.64,6804.43","8234.82,1550.51","8632.51,5533.77","8214.44,3246.53","3574.39,5266.29"
435,"7947.6,4385.94","7954.12,3245.05","7826.54,5431.75","6959.02,5541.56","6727.93,4634.42","10394.32,3874.07","7886.59,6025.74","6923.58,6412.08","7868.05,2537.41","5707.5,3958.97","5025.63,5854.02","3109.1,4966.15","5159.45,1818.68","5267.86,5123.66","5211.72,6353.6","7515.65,2518.79","6612.82,5512.91","8319.21,6190.84","7320.87,6786.69","8150.32,1564.76","8564.71,5525.55","8138.91,3237.54","3446.77,5201.45"
436,"7876.74,4393.15","7898.33,3168.21","7747.67,5479.45","6885.52,5509.1","6649.03,4610.07","10394.32,3874.07","7837.58,5985.97","6860.11,6406.94","7811.42,2472.72","5637.31,3830.19","4929.12,5815.05","3090.52,4957.33","5083.33,1850.27","5209.23,5142.55","5153.96,6360.55","7461.53,2514.69","6542.01,5489.89","8253.32,6182.01","7277.8,6793.4","8086.97,1516.64","8491.92,5544.51","8060.0,3241.74","3353.33,5134.87"
437,"7860.4,4312.52","7824.64,3099.65","7769.86,5458.92","6887.21,5487.26","6618.76,4597.01","10394.32,3874.07","7867.27,5962.46","6918.09,6390.32","7727.06,2349.17","5577.66,3821.96","4958.37,5775.84","3187.57,5046.78","4930.78,1737.98","5224.29,5208.06","5191.35,6420.62","7397.46,2350.08","6553.08,5438.82","8313.17,6112.54","7352.89,6778.23","7983.52,1283.26","8527.79,5488.84","8039.5,3047.31","3391.25,5196.93"
438,"7809.28,4297.12","7783.68,3038.0","7715.83,5478.23","6817.17,5472.15","6551.37,4575.99","10394.32,3874.07","7835.35,5906.8","6864.33,6369.77","7678.28,2290.92","5498.66,3719.94","4849.63,5756.48","3158.3,5017.16","4850.65,1730.2","5166.5,5191.05","5137.28,6422.73","7362.06,2314.87","6489.83,5426.73","8274.05,6072.96","7327.01,6764.09","7946.02,1201.96","8486.68,5501.63","7978.16,3035.85","3288.74,5138.85"
439,"7728.01,4308.23","7716.02,3010.83","7649.9,5486.97","6747.78,5460.24","6467.74,4575.31","10394.32,3874.07","7772.36,5901.38","6793.96,6368.77","7616.48,2292.59","5420.58,3665.26","4736.09,5653.31","3134.77,5002.2","4785.42,1703.32","5104.14,5160.35","5036.46,6438.98","7298.08,2337.0","6430.99,5366.66","8221.78,6044.96","7274.39,6784.78","7874.52,1199.16","8411.37,5515.15","7914.76,3008.1","3248.94,5113.96"
