5,14,224.00,515.00,33.00,79.00,1,-1,-1,-1
5,18,1123.00,707.00,74.00,88.00,1,-1,-1,-1
5,13,332.00,495.00,36.00,75.00,1,-1,-1,-1
5,11,776.00,369.00,25.00,60.00,1,-1,-1,-1
5,19,776.00,417.00,28.00,73.00,1,-1,-1,-1
5,22,951.00,225.00,19.00,50.00,1,-1,-1,-1
5,20,1854.00,808.00,38.00,110.00,1,-1,-1,-1
5,21,312.00,225.00,18.00,48.00,1,-1,-1,-1
5,23,1904.00,377.00,16.00,66.00,1,-1,-1,-1
5,28,1200.00,860.00,15.00,15.00,1,-1,-1,-1
5,27,1895.00,236.00,23.00,53.00,1,-1,-1,-1
5,24,1903.00,378.00,17.00,64.00,1,-1,-1,-1
5,26,1895.00,236.00,23.00,52.00,1,-1,-1,-1
6,3,1280.00,392.00,35.00,72.00,1,-1,-1,-1
6,1,999.00,458.00,31.00,70.00,1,-1,-1,-1
6,15,1171.00,354.00,26.00,58.00,1,-1,-1,-1
6,4,604.00,592.00,39.00,80.00,1,-1,-1,-1
6,10,1235.00,431.00,33.00,72.00,1,-1,-1,-1
6,8,1585.00,614.00,37.00,92.00,1,-1,-1,-1
6,2,537.00,690.00,43.00,96.00,1,-1,-1,-1
6,17,1097.00,307.00,19.00,52.00,1,-1,-1,-1
6,9,884.00,361.00,25.00,63.00,1,-1,-1,-1
6,5,1315.00,449.00,47.00,68.00,1,-1,-1,-1
6,12,359.00,729.00,35.00,103.00,1,-1,-1,-1
6,13,334.00,495.00,33.00,74.00,1,-1,-1,-1
6,14,225.00,515.00,32.00,80.00,1,-1,-1,-1
6,16,1373.00,817.00,44.00,89.00,1,-1,-1,-1
6,7,879.00,640.00,37.00,84.00,1,-1,-1,-1
6,6,373.00,307.00,27.00,60.00,1,-1,-1,-1
6,18,1126.00,708.00,76.00,86.00,1,-1,-1,-1
6,11,775.00,370.00,25.00,58.00,1,-1,-1,-1
6,19,775.00,419.00,28.00,71.00,1,-1,-1,-1
6,22,951.00,225.00,19.00,49.00,1,-1,-1,-1
6,21,312.00,224.00,19.00,49.00,1,-1,-1,-1
6,24,1903.00,378.00,17.00,65.00,1,-1,-1,-1
6,20,1854.00,808.00,38.00,111.00,1,-1,-1,-1
6,28,1205.00,864.00,14.00,16.00,1,-1,-1,-1
6,26,1892.00,234.00,25.00,54.00,1,-1,-1,-1
6,27,1893.00,234.00,24.00,55.00,1,-1,-1,-1
7,3,1282.00,393.00,35.00,71.00,1,-1,-1,-1
7,10,1239.00,431.00,31.00,72.00,1,-1,-1,-1
7,14,224.00,515.00,33.00,81.00,1,-1,-1,-1
7,4,607.00,592.00,39.00,84.00,1,-1,-1,-1
7,1,1001.00,459.00,31.00,69.00,1,-1,-1,-1
7,7,890.00,640.00,34.00,86.00,1,-1,-1,-1
7,15,1172.00,353.00,28.00,60.00,1,-1,-1,-1
7,17,1097.00,308.00,22.00,51.00,1,-1,-1,-1
7,5,1323.00,449.00,41.00,67.00,1,-1,-1,-1
7,8,1587.00,616.00,37.00,97.00,1,-1,-1,-1
7,12,359.00,731.00,35.00,104.00,1,-1,-1,-1
7,16,1364.00,819.00,43.00,86.00,1,-1,-1,-1
7,2,538.00,691.00,41.00,97.00,1,-1,-1,-1
7,18,1133.00,707.00,85.00,83.00,1,-1,-1,-1
7,13,337.00,495.00,30.00,74.00,1,-1,-1,-1
7,9,887.00,361.00,25.00,63.00,1,-1,-1,-1
7,11,775.00,369.00,24.00,61.00,1,-1,-1,-1
7,6,372.00,307.00,27.00,60.00,1,-1,-1,-1
7,19,776.00,420.00,27.00,70.00,1,-1,-1,-1
7,22,952.00,225.00,18.00,49.00,1,-1,-1,-1
7,21,312.00,224.00,19.00,50.00,1,-1,-1,-1
7,24,1904.00,378.00,16.00,65.00,1,-1,-1,-1
7,20,1854.00,809.00,37.00,110.00,1,-1,-1,-1
